Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Number of emerging researchers awarded research grants through NRF-managed programmes as reflected by the NRF project reports.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"400 emerging
researchers awarded
research grants as
reflected in the NRF
project reports.","508 emerging 
researchers awarded 
research grants as reflected in the NRF 
project reports
 ",The nature of the target is that it cannot be accurately forecasted (but it is estimated) as it depends on the number of applications received and the outcomes of the adjudication processes.       ,None,,,"700 emerging
researchers awarded
research grants as
reflected in the NRF
project reports.",,,,,,"1 000 emerging
researchers awarded
research grants as
reflected in the NRF
project reports.",,,,,,"1 450 emerging
researchers awarded
research grants as
reflected in the NRF
project reports.",,,,,,"1 450 emerging
researchers awarded
research grants
through NRF-managed
programmes as reflected
by the NRF project
reports by 31 March
2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Number of black female emerging researchers awarded research grants through NRF-managed programmes as reflected by the NRF project reports.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"150 black female
emerging researchers
awarded research
grants.","189 black female
emerging researchers
awarded research
grants.",The nature of the target is that it cannot be accurately forecasted (but it is estimated) as it depends on the number of applications received and the outcomes of the adjudication processes,None,,,"200 black female
emerging researchers
awarded research
grants to become
research active.",,,,,,"300 black female
emerging researchers
awarded research
grants to become
research active.",,,,,,"450 black female
emerging researchers
awarded research
grants to become
research active.",,,,,,"450 black female
emerging researchers
awarded research grants
through NRF-managed
programmes as reflected
by the NRF project
reports by 31 March
2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Number of research infrastructure grants awarded.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,No target,No Target,No Target,No Target,,,"Call for proposals on
awarding of research
infrastructure grants
issued contingent on
funds being available
for earmarked
projects.",,,,,,No target,,,,,,"30 annual research
infrastructure grants
awarded.",,,,,,"30 research infrastructure
grants awarded by 31
March 2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Total available broadband capacity provided by SANReN per annum.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,No target,No Target,No Target,No Target,,,"New links and
upgrade plan finalised.",,,,,,No target,,,,,,"6 500 Gbps total
available broadband
capacity provided by
SANReN.",,,,,,"6 500 Gbps total available
broadband capacity
provided by SANReN by
31 March 2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Number of additional receivers installed on the MeerKAT telescope to enhance the performance of the MeerKAT telescope.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,No target,No Target,No Target,No Target,,,"Progress report
submitted by SARAO
Director on the
production plan
for the 4 L-band
receivers.",,,,,,No target,,,,,,"4 L-band receivers
installed on the
additional MeerKAT
Extension antennas
completed.",,,,,,"4 L-band receivers
installed on the additional
MeerKAT Extension
antennas completed by 31
March 2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Number of additional MeerKAT antennas installed.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,No target,No Targt,No Target,No Target,,,"Progress report
submitted by SARAO
Director on the
installation of the 4
MeerKAT Extension
antennas.",,,,,,No Target,,,,,,"4 MeerKAT Extension
antennas installed.",,,,,,"4 MeerKAT Extension
antennas installed by 31
March 2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Number of initiatives conducted to promote public awareness of and engagement with science conducted throughout the country as reflected in the reports of the NRF and other partners.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"(1) First DSI-initiated
and supported
basic science
communication skills
postgraduate diploma
at University of
Limpopo offered to
students.",42 students registered for the Postgraduate Diploma in Science Communication at the University of Limpopo.,None,None,,,"(2) National Science
Week conducted.",,,,,,"(3) Three main STEMI
Olympiads and
fairs supported and
conducted targeting
learners in all nine
provinces.
(4) South African
Association of
Science and
Technology Centres
conference supported
and held.
(5) STEMI Olympiads
Community of
Practice Conference
conducted.",,,,,,"6) Science
journalism enhanced
by placing at least
10 unemployed
journalism graduates
with mainstream
media houses.
(7) Science
engagement activities
conducted by at least
20 science centres
supported by the DSI
throughout the year.
(8) At least 1
educator training
supporting maths,
science and
technology education
conducted in no less
than 3 provinces
that have signed
collaboration
agreements with the
DSI.
(9) Two mainstream
media-based
(radio and
television) science
communication
activities conducted.
ANNUAL PERFORMANCE PLAN 2023-2024
105
PART C
DEPARTMENT OF SCIENCE AND INNOVATION No. Outputs Output
performance
indicator
Annual
target
Quarter 1 Quarter 2 Quarter 3 Quarter 4
(10) A citizen science
initiative based on
post-construction
monitoring and
evaluation of AN
Sisulu Science Centre
conducted.
(11) Introduction of
coding to schools
supported by
providing coding
training to education
officials from nine
provinces.
(12) At least two
science engagement
initiatives hosted on
social media.
(13) At least one
standalone public
engagement with
research event
hosted.
(14) At least
4 community
participatory research
projects (i.e., science
shops) conducted
at public higher
universities.
(15) A science hub
established at St
John’s College in
Eastern Cape.",,,,,,"15 initiatives conducted
to promote public
awareness of and
engagement with science
throughout the country,
as reflected in the reports
of the NRF and other
partners by 31 March
2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,"Number of strategic and technical engagements with the NRF, SACNASP and ASSAf to ensure alignment with national priorities.",Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"3 bilateral
engagement reports.",1 bilateral meeting held between the DSI and NRF.,Meetings with ASSAf and SACNASP could not take place in Q1 because of unavailability of members for the meeting.,The first meetings with ASSAf and SACNASP will be held in quarter 2,,,"3 bilateral
engagement reports.",,,,,,"3 bilateral
engagement reports.",,,,,,"3 bilateral
engagement reports.",,,,,,"12 strategic and technical
engagements with the
NRF, SACNASP and
ASSAf to alignment with
national priorities by 31
March 2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Revised palaeosciences strategy aligned with the STI Decadal Plan priorities.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Draft revised
palaeosciences
strategy.",Initial stakeholder workshop was held on the revision of the Strategy and draft concept document developed as an initial draft for stakeholder engagement.,"     The listed process in Q1 was captured incorrectly as it reflects the same output as in Q3      
",The draft strategy will be presented in the third quarter.,,,"Stakeholder
engagement report
on the revised
palaeosciences
strategy.",,,,,,"First draft with
stakeholder inputs
on the revised
palaeosciences
strategy.",,,,,,"DSI Excoapproved
revised
palaeosciences
strategy.",,,,,,"DSI approved revised
palaeosciences strategy
aligned with the STI
Decadal Plan by 31 March
2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,South African Highlevel All-Atlantic Ocean Research Forum Report.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"DG approval of the
proposed theme
for the All-Atlantic
Ocean Research
Forum.",Draft theme developed for All-Atlantic Ocean Research Forum but not yet approved by the DG.,"Awaiting presentation of the Africa AAORIA Forum Workshop to EXCO.
",Presentation of the AAORIA Forum Workshop to be made to Exco on 10 July 2023,,,"Finalisation of the
agenda of the All-
Atlantic Ocean
Research Forum and
associated activities.",,,,,,"Draft report on
All-Atlantic Ocean
Research Forum.",,,,,,"All-Atlantic Ocean
Research Forum
report finalised.",,,,,,"South African Highlevel
All-Atlantic Ocean
Research Forum report
finalised by 31 March
2024.",-,,,,,,,389
Science and Technology,Science and Innovation,National,Programme 4: Research Development and Support,Programme 4: Research Development and Support,Quarterly,Number of community benefitting from IKS-based smart villages programme in Nyandeni in the Eastern Cape.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"2 biocultural
protocols workshops
conducted at
Nyandeni Municipality.",2 workshops conducted on the Biocultural Protocols (BCP) and public participation meetings,None,None,,,"Inception report,
including on
development of
a smart village in
Nyandeni approved
through the Office of
the Director: IKS.",,,,,,"Report on the
identification
of indigenous
technologies
approved through
the Office of the
Director: IKS.",,,,,,"10 communities
benefiting from
the smart village
programme in
Nyandeni Municipality
in the Eastern Cape.",,,,,,"10 communities benefiting
from the IKS-based smart
village programme in
Nyandeni Municipality in
the Eastern Cape by 31
March 2024.",-,,,,,,,389
